ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END
ENSG00000182979	MTA1	metastasis associated 1	protein_coding	14	105886159	105937066
ENSG00000182983	ZNF662	zinc finger protein 662	protein_coding	3	42947223	42960825
ENSG00000182985	CADM1	cell adhesion molecule 1	protein_coding	11	115039938	115375675
ENSG00000182986	ZNF320	zinc finger protein 320	protein_coding	19	53367043	53400946
ENSG00000182993	C12orf60	chromosome 12 open reading frame 60	protein_coding	12	14956506	15059520
ENSG00000183010	PYCR1	pyrroline-5-carboxylate reductase 1	protein_coding	17	79890260	79900288
ENSG00000183011	LSMD1	LSM domain containing 1	protein_coding	17	7760003	7788556
ENSG00000183016	IQCA1P1	IQ motif containing with AAA domain 1 pseudogene 1	pseudogene	7	150888067	150902582
ENSG00000183018	SPNS2	spinster homolog 2 (Drosophila)	protein_coding	17	4402133	4442191
ENSG00000183019	C19orf59	chromosome 19 open reading frame 59	protein_coding	19	7741514	7744712
ENSG00000183020	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	protein_coding	11	924894	1012239
ENSG00000183022	TPM3P8	tropomyosin 3 pseudogene 8	pseudogene	2	231437882	231438524
ENSG00000183023	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	protein_coding	2	40324410	40838193
ENSG00000183032	SLC25A21	solute carrier family 25 (mitochondrial oxoadipate carrier), member 21	protein_coding	14	37148921	37344209
ENSG00000183034	OTOP2	otopetrin 2	protein_coding	17	72920370	72930007
ENSG00000183036	PCP4	Purkinje cell protein 4	protein_coding	21	41239243	41301322
ENSG00000183044	ABAT	4-aminobutyrate aminotransferase	protein_coding	16	8768422	8878432
ENSG00000183048	SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10	protein_coding	17	79679294	79688042
ENSG00000183049	CAMK1D	calcium/calmodulin-dependent protein kinase ID	protein_coding	10	12391481	12877545
ENSG00000183055	FAM133CP	family with sequence similarity 133, member C, pseudogene	pseudogene	10	60475314	60476017
ENSG00000183060	LYSMD4	LysM, putative peptidoglycan-binding, domain containing 4	protein_coding	15	100260989	100273766
ENSG00000183066	WBP2NL	WBP2 N-terminal like	protein_coding	22	42394729	42454357
ENSG00000183067	IGSF5	immunoglobulin superfamily, member 5	protein_coding	21	41117334	41174023
ENSG00000183072	NKX2-5	NK2 homeobox 5	protein_coding	5	172659112	172662360
ENSG00000183077	AFMID	arylformamidase	protein_coding	17	76183398	76203782
ENSG00000183087	GAS6	growth arrest-specific 6	protein_coding	13	114523524	114567046
ENSG00000183090	FREM3	FRAS1 related extracellular matrix 3	protein_coding	4	144498455	144621828
ENSG00000183091	NEB	nebulin	protein_coding	2	152341850	152591001
ENSG00000183092	BEGAIN	brain-enriched guanylate kinase-associated	protein_coding	14	101003486	101053750
ENSG00000183098	GPC6	glypican 6	protein_coding	13	93879095	95059655
ENSG00000183103	LYPD4	LY6/PLAUR domain containing 4	protein_coding	19	42341148	42348760
ENSG00000183111	ARHGEF37	Rho guanine nucleotide exchange factor (GEF) 37	protein_coding	5	148931510	149014531
ENSG00000183114	FAM43B	family with sequence similarity 43, member B	protein_coding	1	20878932	20881512
ENSG00000183117	CSMD1	CUB and Sushi multiple domains 1	protein_coding	8	2792875	4852494
ENSG00000183122	OR2A3P	olfactory receptor, family 2, subfamily A, member 3 pseudogene	pseudogene	7	143854319	143855271
ENSG00000183128	CALHM3	calcium homeostasis modulator 3	protein_coding	10	105232561	105238997
ENSG00000183134	PTGDR2	prostaglandin D2 receptor 2	protein_coding	11	60618555	60623444
ENSG00000183137	CEP57L1	centrosomal protein 57kDa-like 1	protein_coding	6	109416313	109485135
ENSG00000183145	RIPPLY3	ripply transcriptional repressor 3	protein_coding	21	38378450	38391959
ENSG00000183150	GPR19	G protein-coupled receptor 19	protein_coding	12	12813825	12849141
ENSG00000183154	RP11-863K10.7	Uncharacterized protein 	protein_coding	8	37592279	37594944
ENSG00000183155	RABIF	RAB interacting factor	protein_coding	1	202848085	202858263
ENSG00000183160	TMEM119	transmembrane protein 119	protein_coding	12	108983622	108992096
ENSG00000183161	FANCF	Fanconi anemia, complementation group F	protein_coding	11	22644079	22647387
ENSG00000183166	CALN1	calneuron 1	protein_coding	7	71244476	71912136
ENSG00000183169	POM121L1P	POM121 transmembrane nucleoporin-like 1, pseudogene	pseudogene	22	22981648	22986944
ENSG00000183172	SMDT1	single-pass membrane protein with aspartate-rich tail 1	protein_coding	22	42475695	42480288
ENSG00000183185	GABRR3	gamma-aminobutyric acid (GABA) A receptor, rho 3	polymorphic_pseudogene	3	97705517	97753833
ENSG00000183186	C2CD4C	C2 calcium-dependent domain containing 4C	protein_coding	19	405438	409139
ENSG00000183196	CHST6	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	protein_coding	16	75510949	75529157
ENSG00000183199	HSP90AB3P	heat shock protein 90kDa alpha (cytosolic), class B member 3, pseudogene	pseudogene	4	88812995	88815167
ENSG00000183206	POTEC	POTE ankyrin domain family, member C	protein_coding	18	14507338	14543584
ENSG00000183207	RUVBL2	RuvB-like AAA ATPase 2	protein_coding	19	49496705	49519236
ENSG00000183208	GDPGP1	GDP-D-glucose phosphorylase 1	protein_coding	15	90777040	90785315
ENSG00000183230	CTNNA3	catenin (cadherin-associated protein), alpha 3	protein_coding	10	67672276	69455927
ENSG00000183239	RP5-1120P11.4		pseudogene	6	44056979	44057433
ENSG00000183246	RIMBP3C	RIMS binding protein 3C	protein_coding	22	21899934	21905750
ENSG00000183248	CTD-3193O13.9	Protein FLJ22184 	protein_coding	19	7933605	7939326
ENSG00000183249	NF1P3	neurofibromin 1 pseudogene 3	pseudogene	21	15373248	15377600
ENSG00000183250	C21orf67	chromosome 21 open reading frame 67	protein_coding	21	46352729	46359828
ENSG00000183251	OR51B4	olfactory receptor, family 51, subfamily B, member 4	protein_coding	11	5322244	5323226
ENSG00000183255	PTTG1IP	pituitary tumor-transforming 1 interacting protein	protein_coding	21	46269500	46293752
ENSG00000183258	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	protein_coding	5	176938578	176944470
ENSG00000183260	ABHD16B	abhydrolase domain containing 16B	protein_coding	20	62492566	62494341
ENSG00000183273	CCDC60	coiled-coil domain containing 60	protein_coding	12	119772517	119978852
ENSG00000183281	PLGLB1	plasminogen-like B1	protein_coding	2	87229682	87248975
ENSG00000183283	DAZAP2	DAZ associated protein 2	protein_coding	12	51632076	51665146
ENSG00000183287	CCBE1	collagen and calcium binding EGF domains 1	protein_coding	18	57098172	57364473
ENSG00000183291	SEP15	Homo sapiens 15 kDa selenoprotein (SEP15), transcript variant 2, mRNA.	protein_coding	1	87328132	87380107
ENSG00000183298	RP11-556K13.1		pseudogene	1	102251892	102254059
ENSG00000183303	OR5P2	olfactory receptor, family 5, subfamily P, member 2	protein_coding	11	7817452	7818520
ENSG00000183307	CECR6	cat eye syndrome chromosome region, candidate 6	protein_coding	22	17597189	17602257
ENSG00000183309	ZNF623	zinc finger protein 623	protein_coding	8	144718183	144735900
ENSG00000183310	OR2T34	olfactory receptor, family 2, subfamily T, member 34	protein_coding	1	248737022	248738080
ENSG00000183317	EPHA10	EPH receptor A10	protein_coding	1	38179552	38230805
ENSG00000183323	CCDC125	coiled-coil domain containing 125	protein_coding	5	68576002	68628636
ENSG00000183324	C15orf60	chromosome 15 open reading frame 60	protein_coding	15	73735499	73852354
ENSG00000183336	BOLA2	bolA family member 2	protein_coding	16	29464914	29466285
ENSG00000183340	JRKL	jerky homolog-like (mouse)	protein_coding	11	96123153	96240738
ENSG00000183346	C10orf107	chromosome 10 open reading frame 107	protein_coding	10	63422719	63526524
ENSG00000183347	GBP6	guanylate binding protein family, member 6	protein_coding	1	89829617	89852020
ENSG00000183354	KIAA2026	KIAA2026	protein_coding	9	5881596	6007825
ENSG00000183379	SYNDIG1L	synapse differentiation inducing 1-like	protein_coding	14	74872596	74892805
ENSG00000183386	FHL3	four and a half LIM domains 3	protein_coding	1	38462442	38471278
ENSG00000183389	OR56A4	olfactory receptor, family 56, subfamily A, member 4	protein_coding	11	6023216	6024424
ENSG00000183396	TMEM89	transmembrane protein 89	protein_coding	3	48658192	48659288
ENSG00000183397	C19orf71	chromosome 19 open reading frame 71	protein_coding	19	3539152	3544028
ENSG00000183401	CCDC159	coiled-coil domain containing 159	protein_coding	19	11455360	11465620
ENSG00000183405	RPS7P1	ribosomal protein S7 pseudogene 1	pseudogene	17	26794814	26795460
ENSG00000183421	RIPK4	receptor-interacting serine-threonine kinase 4	protein_coding	21	43159529	43187266
ENSG00000183423	LRIT3	leucine-rich repeat, immunoglobulin-like and transmembrane domains 3	protein_coding	4	110769358	110793471
ENSG00000183426	NPIPA1	nuclear pore complex interacting protein family, member A1	protein_coding	16	15031271	15045913
ENSG00000183431	SF3A3	splicing factor 3a, subunit 3, 60kDa	protein_coding	1	38422647	38456593
ENSG00000183439	TRIM61	tripartite motif containing 61	protein_coding	4	165875598	165898820
ENSG00000183444	OR7E38P	olfactory receptor, family 7, subfamily E, member 38 pseudogene	pseudogene	7	97595402	97596386
ENSG00000183454	GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	protein_coding	16	9852376	10276611
ENSG00000183458	RP11-958N24.1		pseudogene	16	15005408	15029565
ENSG00000183463	URAD	ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase	protein_coding	13	28551851	28562791
ENSG00000183473	SSTR3	somatostatin receptor 3	protein_coding	22	37600278	37608362
ENSG00000183474	GTF2H2C	general transcription factor IIH, polypeptide 2C	protein_coding	5	68856035	68890550
ENSG00000183475	ASB7	ankyrin repeat and SOCS box containing 7	protein_coding	15	101143215	101191910
ENSG00000183476	SH2D7	SH2 domain containing 7	protein_coding	15	78370150	78396947
ENSG00000183484	GPR132	G protein-coupled receptor 132	protein_coding	14	105515728	105531782
ENSG00000183486	MX2	myxovirus (influenza virus) resistance 2 (mouse)	protein_coding	21	42733870	42780870
ENSG00000183495	EP400	E1A binding protein p400	protein_coding	12	132434508	132564822
ENSG00000183496	MEX3B	mex-3 RNA binding family member B	protein_coding	15	82334119	82338482
ENSG00000183506	PI4KAP2	phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 2	pseudogene	22	21827324	21871822
ENSG00000183508	FAM46C	family with sequence similarity 46, member C	protein_coding	1	118148556	118170994
ENSG00000183513	COA5	cytochrome c oxidase assembly factor 5	protein_coding	2	99215773	99224978
ENSG00000183520	UTP11L	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)	protein_coding	1	38474930	38490496
ENSG00000183527	PSMG1	proteasome (prosome, macropain) assembly chaperone 1	protein_coding	21	40546695	40555777
ENSG00000183530	PRR14L	proline rich 14-like	protein_coding	22	32072242	32146126
ENSG00000183542	KLRC4	killer cell lectin-like receptor subfamily C, member 4	protein_coding	12	10559983	10562356
ENSG00000183549	ACSM5	acyl-CoA synthetase medium-chain family member 5	protein_coding	16	20420856	20452571
ENSG00000183558	HIST2H2AA3	histone cluster 2, H2aa3	protein_coding	1	149813505	149814478
ENSG00000183559	C10orf120	chromosome 10 open reading frame 120	protein_coding	10	124457225	124459338
ENSG00000183560	FOLR4	folate receptor 4, delta (putative)	protein_coding	11	94038759	94040887
ENSG00000183562	AC131971.1	HCG1782999; PRO0943; Uncharacterized protein 	protein_coding	11	3011093	3012563
ENSG00000183569	SERHL2	serine hydrolase-like 2	protein_coding	22	42949623	42968535
ENSG00000183570	PCBP3	poly(rC) binding protein 3	protein_coding	21	47063608	47362368
ENSG00000183571	PGPEP1L	pyroglutamyl-peptidase I-like	protein_coding	15	99511459	99551024
ENSG00000183576	SETD3	SET domain containing 3	protein_coding	14	99864083	99947216
ENSG00000183578	TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3	protein_coding	15	51348795	51397473
ENSG00000183579	ZNRF3	zinc and ring finger 3	protein_coding	22	29279580	29453475
ENSG00000183580	FBXL7	F-box and leucine-rich repeat protein 7	protein_coding	5	15500305	15939900
ENSG00000183597	TANGO2	transport and golgi organization 2 homolog (Drosophila)	protein_coding	22	20004537	20053401
ENSG00000183598	HIST2H3D	histone cluster 2, H3d	protein_coding	1	149784826	149785236
ENSG00000183604	RP11-347C12.2		pseudogene	16	30234230	30346695
ENSG00000183605	SFXN4	sideroflexin 4	protein_coding	10	120900425	120925179
ENSG00000183615	FAM167B	family with sequence similarity 167, member B	protein_coding	1	32712834	32714457
ENSG00000183617	MRPL54	mitochondrial ribosomal protein L54	protein_coding	19	3762662	3768573
ENSG00000183621	ZNF438	zinc finger protein 438	protein_coding	10	31109136	31320866
ENSG00000183624	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific	protein_coding	3	128997671	129025029
ENSG00000183625	CCR3	chemokine (C-C motif) receptor 3	protein_coding	3	46205096	46308197
ENSG00000183628	DGCR6	DiGeorge syndrome critical region gene 6	protein_coding	22	18893541	18901751
ENSG00000183638	RP1L1	retinitis pigmentosa 1-like 1	protein_coding	8	10463859	10569697
ENSG00000183640	KRTAP8-1	keratin associated protein 8-1	protein_coding	21	32185016	32185570
ENSG00000183643	C15orf32	chromosome 15 open reading frame 32	protein_coding	15	93014884	93044347
ENSG00000183644	C11orf88	chromosome 11 open reading frame 88	protein_coding	11	111386236	111407756
ENSG00000183647	ZNF530	zinc finger protein 530	protein_coding	19	58111253	58124090
ENSG00000183648	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	protein_coding	14	92582466	92588261
ENSG00000183654	MARCH11	membrane-associated ring finger (C3HC4) 11	protein_coding	5	16067248	16180871
ENSG00000183655	KLHL25	kelch-like family member 25	protein_coding	15	86302554	86338261
ENSG00000183657	PP13439		protein_coding	3	171509580	171527714
ENSG00000183662	FAM19A1	family with sequence similarity 19 (chemokine (C-C motif)-like), member A1	protein_coding	3	68053359	68594776
ENSG00000183665	TRMT12	tRNA methyltransferase 12 homolog (S. cerevisiae)	protein_coding	8	125463048	125474391
ENSG00000183666	GUSBP1	glucuronidase, beta pseudogene 1	pseudogene	5	21341942	21589481
ENSG00000183668	PSG9	pregnancy specific beta-1-glycoprotein 9	protein_coding	19	43757431	43773682
ENSG00000183671	GPR1	G protein-coupled receptor 1	protein_coding	2	207040040	207082771
ENSG00000183674	LINC00518	long intergenic non-protein coding RNA 518	lincRNA	6	10429488	10435107
ENSG00000183675	PTPN20B	protein tyrosine phosphatase, non-receptor type 20B	protein_coding	10	48736874	48827966
ENSG00000183682	BMP8A	bone morphogenetic protein 8a	protein_coding	1	39957318	39991607
ENSG00000183684	ALYREF	Aly/REF export factor	protein_coding	17	79845713	79849462
ENSG00000183688	FAM101B	family with sequence similarity 101, member B	protein_coding	17	289769	295730
ENSG00000183691	NOG	noggin	protein_coding	17	54671060	54672951
ENSG00000183695	MRGPRX2	MAS-related GPR, member X2	protein_coding	11	19076002	19082228
ENSG00000183696	UPP1	uridine phosphorylase 1	protein_coding	7	48128225	48148330
ENSG00000183715	OPCML	opioid binding protein/cell adhesion molecule-like	protein_coding	11	132284871	133402414
ENSG00000183718	TRIM52	tripartite motif containing 52	protein_coding	5	180681417	180688119
ENSG00000183722	LHFP	lipoma HMGIC fusion partner	protein_coding	13	39917029	40177665
ENSG00000183723	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	protein_coding	16	66648653	66730610
ENSG00000183726	TMEM50A	transmembrane protein 50A	protein_coding	1	25664705	25688739
ENSG00000183729	NPBWR1	neuropeptides B/W receptor 1	protein_coding	8	53850991	53853677
ENSG00000183733	FIGLA	folliculogenesis specific basic helix-loop-helix	protein_coding	2	71004442	71017775
ENSG00000183734	ASCL2	achaete-scute family bHLH transcription factor 2	protein_coding	11	2289725	2292182
ENSG00000183735	TBK1	TANK-binding kinase 1	protein_coding	12	64845660	64895888
ENSG00000183741	CBX6	chromobox homolog 6	protein_coding	22	39257455	39268319
ENSG00000183742	MACC1	metastasis associated in colon cancer 1	protein_coding	7	20174278	20257027
ENSG00000183747	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	protein_coding	16	20462783	20498991
ENSG00000183748	MRC1L1	cDNA FLJ56855, highly similar to Macrophage mannose receptor 1 	protein_coding	10	17851362	17953178
ENSG00000183751	TBL3	transducin (beta)-like 3	protein_coding	16	2022038	2032934
ENSG00000183760	PAPL	Iron/zinc purple acid phosphatase-like protein 	protein_coding	19	39574553	39602133
ENSG00000183762	KREMEN1	kringle containing transmembrane protein 1	protein_coding	22	29469066	29564321
ENSG00000183763	TRAIP	TRAF interacting protein	protein_coding	3	49866034	49894007
ENSG00000183765	CHEK2	checkpoint kinase 2	protein_coding	22	29083731	29138410
ENSG00000183770	FOXL2	forkhead box L2	protein_coding	3	138663066	138665982
ENSG00000183773	AIFM3	apoptosis-inducing factor, mitochondrion-associated, 3	protein_coding	22	21319396	21335649
ENSG00000183775	KCTD16	potassium channel tetramerization domain containing 16	protein_coding	5	143550396	143865249
ENSG00000183778	B3GALT5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	protein_coding	21	40928369	41045064
ENSG00000183779	ZNF703	zinc finger protein 703	protein_coding	8	37553269	37557537
ENSG00000183780	SLC35F3	solute carrier family 35, member F3	protein_coding	1	234040679	234460262
ENSG00000183783	KCTD8	potassium channel tetramerization domain containing 8	protein_coding	4	44175926	44450824
ENSG00000183784	C9orf66	chromosome 9 open reading frame 66	protein_coding	9	213108	215893
ENSG00000183785	TUBA8	tubulin, alpha 8	protein_coding	22	18593097	18629321
ENSG00000183791	TCEB3C	transcription elongation factor B polypeptide 3C (elongin A3)	protein_coding	18	44554573	44556449
ENSG00000183793	NPIPA5	nuclear pore complex interacting protein family, member A5	protein_coding	16	15457516	15474904
ENSG00000183798	EMILIN3	elastin microfibril interfacer 3	protein_coding	20	39989223	39995467
ENSG00000183801	OLFML1	olfactomedin-like 1	protein_coding	11	7506619	7532608
ENSG00000183807	FAM162B	family with sequence similarity 162, member B	protein_coding	6	117073363	117086886
ENSG00000183808	RBM12B	RNA binding motif protein 12B	protein_coding	8	94743756	94753245
ENSG00000183813	CCR4	chemokine (C-C motif) receptor 4	protein_coding	3	32993066	32997841
ENSG00000183814	LIN9	lin-9 homolog (C. elegans)	protein_coding	1	226418850	226497570
ENSG00000183826	BTBD9	BTB (POZ) domain containing 9	protein_coding	6	38136227	38607924
ENSG00000183828	NUDT14	nudix (nucleoside diphosphate linked moiety X)-type motif 14	protein_coding	14	105639275	105647649
ENSG00000183831	ANKRD45	ankyrin repeat domain 45	protein_coding	1	173578700	173639001
ENSG00000183833	MAATS1	MYCBP-associated, testis expressed 1	protein_coding	3	119421869	119485949
ENSG00000183840	GPR39	G protein-coupled receptor 39	protein_coding	2	133174147	133404132
ENSG00000183844	FAM3B	family with sequence similarity 3, member B	protein_coding	21	42676139	42729358
ENSG00000183850	ZNF730	zinc finger protein 730	protein_coding	19	23299777	23330021
ENSG00000183853	KIRREL	kin of IRRE like (Drosophila)	protein_coding	1	157963063	158070052
ENSG00000183856	IQGAP3	IQ motif containing GTPase activating protein 3	protein_coding	1	156495197	156542396
ENSG00000183864	TOB2	transducer of ERBB2, 2	protein_coding	22	41829496	41843027
ENSG00000183873	SCN5A	sodium channel, voltage-gated, type V, alpha subunit	protein_coding	3	38589548	38691164
ENSG00000183876	ARSI	arylsulfatase family, member I	protein_coding	5	149675906	149718870
ENSG00000183888	C1orf64	chromosome 1 open reading frame 64	protein_coding	1	16330731	16335302
ENSG00000183889	AC138969.4	Protein PKD1P1 	protein_coding	16	16416162	16444447
ENSG00000183891	TTC32	tetratricopeptide repeat domain 32	protein_coding	2	20096404	20101747
ENSG00000183908	LRRC55	leucine rich repeat containing 55	protein_coding	11	56949221	56959191
ENSG00000183914	DNAH2	dynein, axonemal, heavy chain 2	protein_coding	17	7620672	7737062
ENSG00000183921	SDR42E2	short chain dehydrogenase/reductase family 42E, member 2	protein_coding	16	22177618	22203075
ENSG00000183929	DUSP5P1	dual specificity phosphatase 5 pseudogene 1	pseudogene	1	228744885	228788150
ENSG00000183935	HTR7P1	5-hydroxytryptamine (serotonin) receptor 7 pseudogene 1	pseudogene	12	13152812	13155768
ENSG00000183955	SETD8	SET domain containing (lysine methyltransferase) 8	protein_coding	12	123868320	123893905
ENSG00000183960	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	protein_coding	3	19189946	19577138
ENSG00000183963	SMTN	smoothelin	protein_coding	22	31460091	31500610
ENSG00000183971	NPW	neuropeptide W	protein_coding	16	2059927	2070756
ENSG00000183977	PP2D1	protein phosphatase 2C-like domain containing 1	protein_coding	3	20021453	20053822
ENSG00000183978	COA3	cytochrome c oxidase assembly factor 3	protein_coding	17	40947401	40950722
ENSG00000184005	ST6GALNAC3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	protein_coding	1	76540404	77100286
ENSG00000184007	PTP4A2	protein tyrosine phosphatase type IVA, member 2	protein_coding	1	32372022	32410457
ENSG00000184009	ACTG1	actin, gamma 1	protein_coding	17	79476997	79490873
ENSG00000184012	TMPRSS2	transmembrane protease, serine 2	protein_coding	21	42836478	42903043
ENSG00000184014	DENND5A	DENN/MADD domain containing 5A	protein_coding	11	9160372	9286937
ENSG00000184022	OR2T10	olfactory receptor, family 2, subfamily T, member 10	protein_coding	1	248756052	248757100
ENSG00000184032	KRTAP20-2	keratin associated protein 20-2	protein_coding	21	32007555	32007938
ENSG00000184040	TMEM236		protein_coding	10	18041218	18089855
ENSG00000184047	DIABLO	diablo, IAP-binding mitochondrial protein	protein_coding	12	122694244	122712081
ENSG00000184055	OR7E87P	olfactory receptor, family 7, subfamily E, member 87 pseudogene	pseudogene	11	71304500	71305428
ENSG00000184056	VPS33B	vacuolar protein sorting 33 homolog B (yeast)	protein_coding	15	91541646	91565833
ENSG00000184058	TBX1	T-box 1	protein_coding	22	19744226	19770555
ENSG00000184060	ADAP2	ArfGAP with dual PH domains 2	protein_coding	17	29248698	29286340
ENSG00000184076	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X	protein_coding	22	30163358	30166402
ENSG00000184084	CTD-2372A4.1		pseudogene	5	73099121	73099424
ENSG00000184100	BRD7P2	bromodomain containing 7 pseudogene 2	pseudogene	3	159818478	159820661
ENSG00000184106	TREML3P	triggering receptor expressed on myeloid cells-like 3, pseudogene	pseudogene	6	41176292	41190382
ENSG00000184110	EIF3C	eukaryotic translation initiation factor 3, subunit C	protein_coding	16	28699879	28747051
ENSG00000184113	CLDN5	claudin 5	protein_coding	22	19510547	19515068
ENSG00000184115	RP13-1039J1.2		lincRNA	2	111160491	111192743
ENSG00000184117	NIPSNAP1	nipsnap homolog 1 (C. elegans)	protein_coding	22	29950797	29977326
ENSG00000184139	RPL7AP28	ribosomal protein L7a pseudogene 28	pseudogene	4	132778498	132779068
ENSG00000184144	CNTN2	contactin 2 (axonal)	protein_coding	1	205012325	205047627
ENSG00000184154	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing	protein_coding	11	71791740	71821828
ENSG00000184156	KCNQ3	potassium voltage-gated channel, KQT-like subfamily, member 3	protein_coding	8	133133108	133493200
ENSG00000184160	ADRA2C	adrenoceptor alpha 2C	protein_coding	4	3768075	3770251
ENSG00000184162	NR2C2AP	nuclear receptor 2C2-associated protein	protein_coding	19	19312225	19314233
ENSG00000184163	FAM132A	family with sequence similarity 132, member A	protein_coding	1	1177833	1182102
ENSG00000184164	CRELD2	cysteine-rich with EGF-like domains 2	protein_coding	22	50311815	50321188
ENSG00000184178	SCFD2	sec1 family domain containing 2	protein_coding	4	53739149	54232242
ENSG00000184182	UBE2F	ubiquitin-conjugating enzyme E2F (putative)	protein_coding	2	238875469	238951236
ENSG00000184185	KCNJ12	potassium inwardly-rectifying channel, subfamily J, member 12	protein_coding	17	21279509	21323179
ENSG00000184203	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2	protein_coding	3	195241221	195270209
ENSG00000184206	GOLGA6L4	golgin A6 family-like 4	protein_coding	15	84904525	84914120
ENSG00000184207	PGP	phosphoglycolate phosphatase	protein_coding	16	2262157	2264808
ENSG00000184209	SNRNP35	small nuclear ribonucleoprotein 35kDa (U11/U12)	protein_coding	12	123942188	123957701
ENSG00000184220	CMSS1	cms1 ribosomal small subunit homolog (yeast)	protein_coding	3	99536678	99897447
ENSG00000184221	OLIG1	oligodendrocyte transcription factor 1	protein_coding	21	34442450	34444726
ENSG00000184224	C11orf72	chromosome 11 open reading frame 72	protein_coding	11	67370351	67374177
ENSG00000184226	PCDH9	protocadherin 9	protein_coding	13	66876967	67804468
ENSG00000184227	ACOT1	acyl-CoA thioesterase 1	protein_coding	14	74003818	74010498
ENSG00000184232	OAF	OAF homolog (Drosophila)	protein_coding	11	120081475	120101041
ENSG00000184254	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	protein_coding	15	101417919	101456831
ENSG00000184260	HIST2H2AC	histone cluster 2, H2ac	protein_coding	1	149858525	149858961
ENSG00000184261	KCNK12	potassium channel, subfamily K, member 12	protein_coding	2	47743720	47798078
ENSG00000184270	HIST2H2AB	histone cluster 2, H2ab	protein_coding	1	149859019	149859439
ENSG00000184271	POU6F1	POU class 6 homeobox 1	protein_coding	12	51580719	51611477
ENSG00000184274	LINC00315	long intergenic non-protein coding RNA 315	lincRNA	21	46720160	46725172
ENSG00000184276	DEFB108B	defensin, beta 108B	protein_coding	11	71544246	71548756
ENSG00000184277	TM2D3	TM2 domain containing 3	protein_coding	15	102161847	102192594
ENSG00000184281	TSSC4	tumor suppressing subtransferable candidate 4	protein_coding	11	2421718	2425106
ENSG00000184292	TACSTD2	tumor-associated calcium signal transducer 2	protein_coding	1	59041099	59043166
ENSG00000184293	CLECL1	C-type lectin-like 1	protein_coding	12	9868456	9885895
ENSG00000184302	SIX6	SIX homeobox 6	protein_coding	14	60975669	60979568
ENSG00000184304	PRKD1	protein kinase D1	protein_coding	14	30045687	30661104
ENSG00000184305	CCSER1	coiled-coil serine-rich protein 1	protein_coding	4	91048686	92523064
ENSG00000184307	ZDHHC23	zinc finger, DHHC-type containing 23	protein_coding	3	113666748	113684248
ENSG00000184313	MROH7	maestro heat-like repeat family member 7	protein_coding	1	55107463	55175939
ENSG00000184319	AC002055.4	ribosomal protein L23a pseudogene 82	pseudogene	22	51195376	51239737
ENSG00000184344	GDF3	growth differentiation factor 3	protein_coding	12	7842378	7848372
ENSG00000184345	IQCF2	IQ motif containing F2	protein_coding	3	51895645	51897440
ENSG00000184347	SLIT3	slit homolog 3 (Drosophila)	protein_coding	5	168088745	168728133
ENSG00000184348	HIST1H2AK	histone cluster 1, H2ak	protein_coding	6	27805658	27806117
ENSG00000184349	EFNA5	ephrin-A5	protein_coding	5	106712590	107006596
ENSG00000184350	MRGPRE	MAS-related GPR, member E	protein_coding	11	3248928	3253616
ENSG00000184357	HIST1H1B	histone cluster 1, H1b	protein_coding	6	27834570	27835359
ENSG00000184361	SPATA32	spermatogenesis associated 32	protein_coding	17	43331760	43338357
ENSG00000184363	PKP3	plakophilin 3	protein_coding	11	392614	404908
ENSG00000184371	CSF1	colony stimulating factor 1 (macrophage)	protein_coding	1	110452864	110473614
ENSG00000184374	COLEC10	collectin sub-family member 10 (C-type lectin)	protein_coding	8	120007691	120118821
ENSG00000184378	ACTRT3	actin-related protein T3	protein_coding	3	169484709	169487436
ENSG00000184381	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent)	protein_coding	22	38507502	38601697
ENSG00000184384	MAML2	mastermind-like 2 (Drosophila)	protein_coding	11	95709762	96076344
ENSG00000184385	C21orf128	chromosome 21 open reading frame 128	protein_coding	21	43522244	43528644
